number;word;detail_url;definition
99;агаё-выно;/term?tid=129562;"агаё-выноупотребляется лишь в составе выражений:агаё-выно кадь как братьясоос агаё-выно кадь уло душа в душу (букв. они живут как братья)"
100;агай;/term?tid=129553;"1) старший брат   мынам агае – дышетӥсь мой старший брат – учитель2) дядя (по отцовской линии)3) дядя (в сочетании с именем собственным - уважительно о простом немолодом мужчине, а также обращение к взрослому мужчине)4) мужчина (в детской речи и прост. шутл.)"
101;агай-вын;/term?tid=129554;"1) брат   агай-вынъёс собир. братья; старшие и младшие братья   соос агай-вын они братья2) единомышленник; единоплеменник3) рел. брат во Христе, христианин (последователь учения Иисуса Христа)"
102;агай-вынлыко;/term?tid=129555;братственный
103;агайзы;/term?tid=129557;"1) старший деверь (букв. их старший брат)2) вежливое обращение жены младшего брата к старшему деверю"
104;агай-ӟенгай;/term?tid=129556;"диал. брат и сноха; брат с женой"
105;агайлык;/term?tid=129558;"1) братство; отношение к брату (как к брату)2) первородство (старшинство по рождению среди братьев)"
106;агар;/term?tid=129559;"диал. союз если; как   агар огпол сётӥз ке, кыдёке палдод как один раз даст (ударит), далеко отлетишь"
107;агат;/term?tid=129560;"мин. агат || агатовый   агат весь агатовые бусы"
108;агачак;/term?tid=129561;"зоол. жерех (рыба)"
109;агент;/term?tid=129563;"в разн.знач. агент   снабжения агент агент по снабжению   страховой агент страховой агент   лушкем разведкалэн агентъёсыз агенты секретной разведки"
110;агентство;/term?tid=129564;"агентство   транспортъя агентство транспортное агентство"
111;агентура;/term?tid=129565;"в разн.знач. агентура || агентурный   агентура иворъёс агентурные сведения"
112;агитатор;/term?tid=129566;"агитатор смотри также:  ӧтись-ӝуткась"
113;агитаци;/term?tid=129567;"полит. агитация || агитационный"
114;агитационной;/term?tid=129569;агитационный
115;агитационно-массовой;/term?tid=129568;"агитационно-массовый   агитационно-массовой уж нуыны вести агитационно-массовую работу"
116;агитация;/term?tid=129570;"полит. агитация   агитация нуыны вести агитацию; агитировать; смотри также:  ӧтён-ӝуткан"
117;агитировать;/term?tid=129571;"агитироватьупотребляется лишь в составе выражений:агитировать карон агитация; агитированиеагитировать карыны агитировать; смотри также:  ӧтьыны-ӝутканы"
118;агитмассовой;/term?tid=129572;"агитмассовый   агитмассовой уж агитмассовая работа"
119;аграномической;/term?tid=129573;агрономический
120;аграрной;/term?tid=129574;"аграрный   аграрной воштӥськонъёс аграрные реформы"
121;агрегат;/term?tid=129575;"агрегат   ю октон-калтон агрегат зерноуборочный агрегат"
122;агресси;/term?tid=129576;"агрессия   агрессилэн бервылъёсыз последствия агрессии"
123;агрессивной;/term?tid=129577;"агрессивный   агрессивной мылкыдъёс агрессивность; агрессивные настроения"
124;агрессор;/term?tid=129578;"агрессор   агрессоръёслы пумит султыны встать против агрессоров"
125;агропромышленной;/term?tid=129579;"агропромышленный   агропромышленной кооперация агропромышленная кооперация"
126;агротехника;/term?tid=129580;"агротехника || агротехнический"
127;агротехнической;/term?tid=129581;агротехнический
128;агрофизической;/term?tid=129582;агрофизический
129;агрофизка;/term?tid=129583;"агрофизика, агрофизический"
130;агрохими;/term?tid=129584;"агрохимия, агрохимический"
131;агрохимической;/term?tid=129585;агрохимический
132;агу;/term?tid=129586;"диал. яд, отрава"
133;агулам;/term?tid=129587;"прич. от  агуланы"
134;агулан;/term?tid=129588;"прич. и сущ. от  агуланы"
135;агуланы;/term?tid=129589;"диал.1) отравить, отравлять2) с.-х. протравить, протравливать (семена)"
136;агуласькон;/term?tid=129590;"сущ. от  агуласькыны"
137;агуласькыны;/term?tid=129591;"диал.1) отравиться, отравляться2) заразиться, заражаться"
138;агуло;/term?tid=129592;"диал.1) ядовитый; отравляющий2) заразный"
139;агыкай;/term?tid=129593;"диал.1) старший брат2) друг"
140;агытаншия;/term?tid=129594;"диал. бот. боярышник"
141;адарынон;/term?tid=129595;"диал. приём; пари"
142;адатон;/term?tid=129596;"сущ. и прич. от  адатыны"
143;адатыны;/term?tid=129597;"диал. блуждать, заблудиться; сбиваться (сбиться) с пути"
144;адатэм;/term?tid=129598;"прич. от  адатыны"
145;адаш;/term?tid=129599;"1) тёзка2) диал. тёзка-сверстница, тёзка-ровесница (только о женщине)"
146;адвокат;/term?tid=129600;"юр. адвокат   адвокатъёслэн коллегизы коллегия адвокатов; смотри также: судын утись (в ст.  суд Ⅰ)"
147;аджар;/term?tid=129601;"аджарец || аджарский   аджар кыл аджарский язык   аджар ныл аджарка   аджарецъёс аджарцы"
148;адӟем;/term?tid=129643;"1) видавший, повидавший; видевший, увидевший   дуннеез адӟем адями человек, повидавший мир2) увиденное   адӟемез вераны рассказать об увиденном   адӟем карись подражающий; копирующий   адӟем карон подражание; копирование   адӟем карымон достойный подражания; примерный   адӟем карыны подражать; копировать; брать пример   адӟем потоно мурт желанный человек   адӟем потонтэм ненавистный; отвратительный, презренный; постылый прост.   адӟем потонтэм адями ненавистный человек   адӟем потонтэм карыны ненавидеть; презирать   адӟем потонтэм луыны стать ненавистным   адӟем потыны хотеть увидеть   тонэ адӟеме потэ хочется увидеть тебя   кылэм-адӟем но уг кар не обращает никакого внимания; и в ус не дует разг."
149;адӟемпотостэм;/term?tid=129644;"ненавистный; отвратительный, презренный; постылый прост."
150;адӟись;/term?tid=129645;"1) видящий; зрячий   азьпаласьсэ пыр адӟись пророк, ясновидец, ясновидящий   котьмае адӟись всевидящий   кыдёке адӟись 1) далеко видящий, дальнозоркий 2) перен. дальновидный, провидец2) юр. свидетель, очевидец   адӟисез ӧвӧл свидетеля нет◊ сьӧд нюлэс пеймыт – адӟисез уз луы погов. лес тёмный – свидетелей не будет"
151;адӟиське;/term?tid=129648;"   Ⅰ1) видится, виднеется   кыдёкысен адӟиське видно издалека   гурт пумын ты адӟиське в конце деревни виднеется озеро2) мерещится   Ⅱв знач. мод.сл. вероятно, видимо, кажется; видно разг.   со, адӟиське, ӝикыт адями он, кажется, аккуратный человек   тон, адӟиське, татысь ӧвӧл ты, видимо, нездешний"
152;адӟиськем;/term?tid=129649;"1) прич. от  адӟиськыны2) встреча, свидание   нырысьсэ адӟиськем интымы место нашего первого свидания   нырысьсэ адӟиськеммы наша первая встреча"
153;адӟиськись;/term?tid=129650;"видный, видимый, заметный; виднеющийся   писпуос вискытӥ адӟиськись ин чылкыт вал небо, виднеющееся между деревьями, было чистым"
154;адӟиськисьтэм;/term?tid=129651;"невидимый, незаметный, неприметный"
155;адӟиськон;/term?tid=129652;"1) свидание, встреча   эшъёсын адӟиськон встреча (свидание) с товарищами2) видимость   яркыт адӟиськон хорошая видимость3) привидение, видение, призрак"
156;адӟиськоно;/term?tid=129653;"видный, заметный, приметный   адӟиськоно интые поныны положить на видное место"
157;адӟиськоно-адӟиськонтэм;/term?tid=129654;"малозаметный, еле видный, едва заметный"
158;адӟиськонтэм;/term?tid=129655;"невидный, незаметный, неприметный; невидимый   адӟиськонтэм интыын в укромном месте   адӟиськонтэм вылысь чтобы не встретиться с кем-либо"
